General Manager,0.05,0.38,0.47,0.33,0.44,0.39,0.5,0.58
Office Manager,0.12,0.43,0.31,0.44,0.38,0.36,0.31,0.56
Production Manager,0.17,0.21,0.91,0.76,0.57,0.74,0.87,0.61
Farm Manager,0.25,0.19,0.94,0.75,0.34,0.37,0.35,0.45
Academic Administrator,0.06,0.79,0.46,0.51,0.79,0.51,0.72,0.28
Hotel Manager,0.28,0.64,0.23,0.31,0.55,0.58,0.55,0.22
Property Manager,0.39,0.71,0.12,0.53,0.5,0.34,0.34,0.04
Purchasing Agent,0.47,0.68,0.47,0.55,0.41,0.71,0.59,0.6
Claims Adjuster,0.83,0.78,0.78,0.57,0.54,0.61,0.45,0.59
Cost Estimator,0.85,0.13,0.76,0.95,0.66,0.92,0.73,0.78
Human Resources Specialist,0.01,0.85,0.48,0.65,0.06,0.18,0.08,0.37
Logistics Manager,0.42,0.41,0.3,0.19,0.52,0.84,0.75,0.83
Management Analyst,0.2,0.53,0.34,0.28,0.71,0.55,0.66,0.79
Event Planner,0.22,0.9,0.37,0.09,0.47,0.4,0.32,0.16
Market Analyst,0.29,0.7,0.59,0.35,0.82,0.8,0.74,0.5
Other Business,0.79,0.72,0.34,0.3,0.33,0.68,0.29,0.47
Accountant/Auditor,0.46,0.78,0.49,0.62,0.64,0.87,0.65,0.67
Financial Analyst,0.04,0.47,0.28,0.21,0.62,0.81,0.71,0.74
Personal Financial Advisor,0.03,0.42,0.43,0.66,0.66,0.82,0.52,0.35
Loan Officer,0.33,0.69,0.83,0.85,0.6,0.7,0.51,0.71
Research Assistant,0.09,0.4,0.03,0.03,0.85,0.88,0.95,0.3
Computer Systems Analyst,0.62,0.48,0.35,0.29,0.81,0.77,0.92,0.94
Information Security Analyst,0.65,0.3,0.13,0.26,0.45,0.34,0.61,0.98
Computer Programmer,0.97,0.31,0.62,0.41,0.35,0.65,0.43,0.91
Software Applications Developer,0.74,0.26,0.07,0.28,0.65,0.91,0.88,0.97
Software System Developer,0.14,0.26,0.07,0.13,0.53,0.61,0.62,0.81
Web Developer,0.76,0.47,0.27,0.05,0.27,0.48,0.6,0.48
Network Administrator,0.35,0.24,0.4,0.36,0.63,0.64,0.82,0.84
Network Engineer,0.32,0.07,0.21,0.45,0.61,0.69,0.79,0.96
IT Specialist,0.15,0.35,0.39,0.47,0.37,0.29,0.28,0.72
Actuary,0.56,0.46,0.87,0.18,0.89,1,0.97,0.84
Operations Analyst,0.44,0.58,0.04,0.24,0.76,0.98,0.89,0.78
Landscape Architect,0.85,0.36,0.24,0.72,0.45,0.53,0.57,0.49
Surveyor,0.93,0.29,0.25,0.68,0.68,0.93,0.61,0.72
Aerospace Engineer,0.45,0.09,0.02,0.12,0.94,0.95,0.9,0.89
Agricultural Engineer,0.65,0.17,0.95,0.6,0.77,0.87,0.85,0.88
